width,height,filling_factor,t,u_ib,qmc,steps,E_imp,E_imp_err,E_no_imp,E_no_imp_err,E_p,E_p_err
6,6,1.0,0.075,2.0,true,100000,-1.792349176332271,4.772098587228815e-5,-2.555237844589056,4.1076683723975655e-5,0.762888668256785,6.296496198984521e-5
8,8,1.0,0.06,-2.0,true,100000,-5.899786534148368,0.00018269996922983998,-2.370256651037553,5.740217040747915e-5,-3.529529883110815,0.00019150532087666323
8,8,1.0,0.06,-1.8,true,100000,-5.348448042927678,0.0001449622444676183,-2.370256651037553,5.740217040747915e-5,-2.9781913918901246,0.00015591363471030621
8,8,1.0,0.06,-1.6,true,100000,-4.852618232219192,0.00011604329071453467,-2.370256651037553,5.740217040747915e-5,-2.482361581181639,0.00012946449122190718
8,8,1.0,0.06,-1.4,true,100000,-4.411449861129538,8.289987718957116e-5,-2.370256651037553,5.740217040747915e-5,-2.0411932100919845,0.00010083352024765999
8,8,1.0,0.06,-1.2,true,100000,-4.006200480111806,7.348514878254278e-5,-2.370256651037553,5.740217040747915e-5,-1.635943829074253,9.324739277364126e-5
8,8,1.0,0.06,-1.0,true,100000,-3.631035545649166,8.237539739344104e-5,-2.370256651037553,5.740217040747915e-5,-1.260778894611613,0.00010040276521698298
8,8,1.0,0.06,-0.8,true,100000,-3.2986458309680136,7.82163454753256e-5,-2.370256651037553,5.740217040747915e-5,-0.9283891799304604,9.701961588774078e-5
8,8,1.0,0.06,-0.6,true,100000,-3.023857987785262,6.863862296997455e-5,-2.370256651037553,5.740217040747915e-5,-0.6536013367477089,8.947776109572474e-5
8,8,1.0,0.06,-0.4,true,100000,-2.789614911300945,5.698172836294423e-5,-2.370256651037553,5.740217040747915e-5,-0.41935826026339207,8.08821768668329e-5
8,8,1.0,0.06,-0.2,true,100000,-2.5744473933647174,5.6652335422006074e-5,-2.370256651037553,5.740217040747915e-5,-0.20419074232716428,8.065045738405183e-5
8,8,1.0,0.06,0.0,true,100000,-2.370256651037553,5.740217040747915e-5,-2.370256651037553,5.740217040747915e-5,0.0,8.117892789990855e-5
8,8,1.0,0.06,0.2,true,100000,-2.174843470069099,6.504227914542244e-5,-2.370256651037553,5.740217040747915e-5,0.19541318096845428,8.674968152057003e-5
8,8,1.0,0.06,0.4,true,100000,-1.992426966481164,5.842126983964797e-5,-2.370256651037553,5.740217040747915e-5,0.3778296845563891,8.19027101942679e-5
8,8,1.0,0.06,0.6,true,100000,-1.840817946064555,6.516737270343429e-5,-2.370256651037553,5.740217040747915e-5,0.529438704972998,8.684351232278429e-5
8,8,1.0,0.06,0.8,true,100000,-1.752633042731779,7.32288923495554e-5,-2.370256651037553,5.740217040747915e-5,0.6176236083057742,9.30455793803878e-5
8,8,1.0,0.06,1.0,true,100000,-1.7133532436228223,7.693612228491688e-5,-2.370256651037553,5.740217040747915e-5,0.6569034074147309,9.599049994519749e-5
8,8,1.0,0.06,1.2,true,100000,-1.6929851463190935,6.76198544382131e-5,-2.370256651037553,5.740217040747915e-5,0.6772715047184596,8.869866899640829e-5
8,8,1.0,0.06,1.4,true,100000,-1.6802753087367353,6.380927090587256e-5,-2.370256651037553,5.740217040747915e-5,0.6899813423008179,8.582908726666217e-5
8,8,1.0,0.06,1.6,true,100000,-1.6714741174579466,6.277131766065073e-5,-2.370256651037553,5.740217040747915e-5,0.6987825335796065,8.506025798422902e-5
8,8,1.0,0.06,1.8,true,100000,-1.6652892416029321,6.424207536413437e-5,-2.370256651037553,5.740217040747915e-5,0.704967409434621,8.615134017866694e-5
8,8,1.0,0.06,2.0,true,100000,-1.6604253909209357,6.460469224705019e-5,-2.370256651037553,5.740217040747915e-5,0.7098312601166175,8.642207720151918e-5
8,8,1.0,0.075,-2.0,true,100000,-7.850079974401019,0.00015959988213201402,-4.267246070784269,6.318107540414546e-5,-3.5828339036167494,0.00017165072288160361
8,8,1.0,0.075,-1.8,true,100000,-7.305670939574929,0.00013622012070750497,-4.267246070784269,6.318107540414546e-5,-3.03842486879066,0.00015015914748956036
8,8,1.0,0.075,-1.6,true,100000,-6.808329423087011,0.0001020036595314324,-4.267246070784269,6.318107540414546e-5,-2.541083352302742,0.00011998581102375687
8,8,1.0,0.075,-1.4,true,100000,-6.35903757891821,0.00010657974266583838,-4.267246070784269,6.318107540414546e-5,-2.091791508133941,0.00012389951507548626
8,8,1.0,0.075,-1.2,true,100000,-5.951803010315557,8.567404901693888e-5,-4.267246070784269,6.318107540414546e-5,-1.684556939531288,0.00010645135491942393
8,8,1.0,0.075,-1.0,true,100000,-5.5817128882158515,6.817134963462718e-5,-4.267246070784269,6.318107540414546e-5,-1.3144668174315823,9.29471957631369e-5
8,8,1.0,0.075,-0.8,true,100000,-5.251086797751155,6.763563177568098e-5,-4.267246070784269,6.318107540414546e-5,-0.9838407269668856,9.255499432726372e-5
8,8,1.0,0.075,-0.6,true,100000,-4.960527599452651,7.215066933039207e-5,-4.267246070784269,6.318107540414546e-5,-0.6932815286683818,9.590394868850757e-5
8,8,1.0,0.075,-0.4,true,100000,-4.705347273870656,6.547364936769991e-5,-4.267246070784269,6.318107540414546e-5,-0.43810120308638645,9.098707078892487e-5
8,8,1.0,0.075,-0.2,true,100000,-4.476286267459798,5.945340050672073e-5,-4.267246070784269,6.318107540414546e-5,-0.2090401966755291,8.675572097007122e-5
8,8,1.0,0.075,0.0,true,100000,-4.267246070784269,6.318107540414546e-5,-4.267246070784269,6.318107540414546e-5,0.0,8.935153372185968e-5
8,8,1.0,0.075,0.2,true,100000,-4.076802018712476,7.226303204247559e-5,-4.267246070784269,6.318107540414546e-5,0.19044405207179338,9.598851019364854e-5
8,8,1.0,0.075,0.4,true,100000,-3.9095444832195847,6.612194330949695e-5,-4.267246070784269,6.318107540414546e-5,0.3577015875646845,9.145468646410988e-5
8,8,1.0,0.075,0.6,true,100000,-3.775363164156201,6.663210491264757e-5,-4.267246070784269,6.318107540414546e-5,0.4918829066280681,9.182421082870457e-5
8,8,1.0,0.075,0.8,true,100000,-3.6811902321989285,8.446424668182636e-5,-4.267246070784269,6.318107540414546e-5,0.5860558385853407,0.00010548012730724554
8,8,1.0,0.075,1.0,true,100000,-3.62167577980881,8.204938267325365e-5,-4.267246070784269,6.318107540414546e-5,0.645570290975459,0.00010355650383383137
8,8,1.0,0.075,1.2,true,100000,-3.5839569417346078,6.827930598212641e-5,-4.267246070784269,6.318107540414546e-5,0.6832891290496614,9.302640439480158e-5
8,8,1.0,0.075,1.4,true,100000,-3.558836496767368,7.088095082473339e-5,-4.267246070784269,6.318107540414546e-5,0.7084095740169012,9.495239585730624e-5
8,8,1.0,0.075,1.6,true,100000,-3.5411371561269234,7.504664697371242e-5,-4.267246070784269,6.318107540414546e-5,0.7261089146573458,9.81012105492146e-5
8,8,1.0,0.075,1.8,true,100000,-3.528086989382321,7.68939291144656e-5,-4.267246070784269,6.318107540414546e-5,0.7391590814019482,9.952147820387706e-5
8,8,1.0,0.075,2.0,true,100000,-3.518191727718116,7.345388111251585e-5,-4.267246070784269,6.318107540414546e-5,0.7490543430661534,9.688818782346963e-5
